======================================================================
  MEV INSURANCE — ECONOMIC REPORT
  2026-05-12 11:44:28
======================================================================

──────────────────────────────────────────────────────────────────────
  EVOLUZIONE POOL (ogni 2 min)
──────────────────────────────────────────────────────────────────────
       Ora         MEVI Pool        ETH Pool
  0x90f79bf6eb2c4f870365    HIGH  71526.9068    321.8455  277.1605   317.7928
  0x976ea74026e726554db6    HIGH  72127.3627    303.3079  275.9357   296.9060
  0x9965507d1a55bcc2695c    HIGH  112254.8627    502.7021  432.4858   436.5798
  0xa0ee7a142d267c1f3671  NESSUNA  138079.1204    490.7035    0.0000     0.0000
  0xbcd4042de499d14e5500  NESSUNA  84268.6757    352.5365    0.0000     0.0000

──────────────────────────────────────────────────────────────────────
  DETTAGLIO TX PER TRADER
──────────────────────────────────────────────────────────────────────

  TRADER 0x14dc79964da2c08b23698b3d3cc7ca32193d9955  [prot: NESSUNA]
  01:18:31   133.20 USDC →  129.7436 MEVI  | att: NO
  01:18:56   138.13 USDC →   93.0524 MEVI  | att: NO
  01:19:22   138.35 USDC →  105.4424 MEVI  | att: NO
  01:19:48   117.59 USDC →   88.9402 MEVI  | att: NO
  01:20:45   132.55 USDC →  114.4528 MEVI  | att: NO
  01:21:11   130.01 USDC →   83.9247 MEVI  | att: NO
  01:21:36   114.66 USDC →  106.8804 MEVI  | att: NO
  01:22:02   120.01 USDC →   86.9797 MEVI  | att: NO
  01:22:27   140.58 USDC →   76.5432 MEVI  | att: NO
  01:22:53   107.65 USDC →   78.8611 MEVI  | att: NO
  01:23:19   117.46 USDC →   88.5734 MEVI  | att: NO
  01:23:44   118.26 USDC →  106.0475 MEVI  | att: SI  perdita: 4.1342  rimborso: NON ASSICURATO
  01:24:07   146.94 USDC →  142.7450 MEVI  | att: NO
  01:24:33   125.18 USDC →   86.8595 MEVI  | att: NO
  01:24:57   106.54 USDC →   81.1888 MEVI  | att: NO
  01:25:23   126.61 USDC →   93.6724 MEVI  | att: NO
  01:25:49   105.80 USDC →   91.1620 MEVI  | att: NO
  01:26:14   130.16 USDC →  115.2509 MEVI  | att: NO
  01:26:40   118.86 USDC →  116.1001 MEVI  | att: NO
